"Location" ,"White","Black","Hispanic","Asian/Native Hawaiian and Pacific Islander","American Indian/Alaska Native","Multiple Races","Total"
"Alabama","0.120","0.203","0.235","N/A","0.320","N/A","0.151"
"Alaska","0.092","N/A","N/A","N/A","0.250","N/A","0.136"
"Arizona","0.062","0.222","0.174","N/A","N/A","N/A","0.110"
"Arkansas","0.111","0.240","0.226","N/A","N/A","N/A","0.142"
"California","0.079","0.146","0.148","0.079","N/A","0.111","0.111"
"Colorado","0.080","N/A","0.145","N/A","N/A","N/A","0.095"
"Connecticut","0.095","N/A","0.215","N/A","N/A","N/A","0.112"
"Delaware","0.069","0.218","N/A","N/A","N/A","N/A","0.106"
"Florida","0.097","0.232","0.155","0.067","N/A","N/A","0.134"
"Georgia","0.100","0.187","0.175","N/A","N/A","N/A","0.134"
"Hawaii","0.116","N/A","0.264","0.084","N/A","0.098","0.110"
"Idaho","0.087","N/A","0.120","N/A","N/A","N/A","0.093"
"Illinois","0.064","0.174","0.064","N/A","N/A","N/A","0.080"
"Indiana","0.095","0.231","N/A","N/A","N/A","N/A","0.122"
"Iowa","0.084","N/A","N/A","N/A","N/A","N/A","0.091"
"Kansas","0.074","0.192","0.186","N/A","N/A","N/A","0.093"
"Kentucky","0.121","0.333","N/A","N/A","N/A","N/A","0.141"
"Louisiana","0.099","0.245","0.263","N/A","N/A","N/A","0.157"
"Maine","0.083","N/A","N/A","N/A","N/A","N/A","0.081"
"Maryland","0.058","0.112","0.219","N/A","N/A","N/A","0.092"
"Massachusetts","0.058","0.124","0.208","N/A","N/A","N/A","0.086"
"Michigan","0.086","0.222","0.116","N/A","N/A","N/A","0.112"
"Minnesota","0.059","N/A","N/A","N/A","N/A","0.268","0.084"
"Mississippi","0.127","0.247","N/A","N/A","N/A","N/A","0.177"
"Missouri","0.079","0.265","0.237","N/A","N/A","N/A","0.109"
"Montana","0.101","N/A","N/A","N/A","0.406","0.163","0.112"
"Nebraska","0.055","0.258","0.179","N/A","N/A","N/A","0.083"
"Nevada","0.104","0.303","0.137","N/A","N/A","N/A","0.130"
"New Hampshire","0.056","N/A","N/A","N/A","N/A","N/A","0.062"
"New Jersey","0.063","0.116","0.145","N/A","N/A","N/A","0.082"
"New Mexico","0.109","0.256","0.199","N/A","0.254","N/A","0.165"
"New York","0.081","0.159","0.216","0.082","N/A","N/A","0.119"
"North Carolina","0.099","0.198","0.194","N/A","N/A","N/A","0.139"
"North Dakota","0.090","N/A","N/A","N/A","0.336","N/A","0.110"
"Ohio","0.105","0.250","0.162","N/A","N/A","0.281","0.129"
"Oklahoma","0.134","0.221","0.246","N/A","0.174","N/A","0.156"
"Oregon","0.089","N/A","0.156","N/A","N/A","N/A","0.095"
"Pennsylvania","0.082","0.219","0.189","N/A","N/A","N/A","0.107"
"Rhode Island","0.066","N/A","0.141","N/A","N/A","N/A","0.091"
"South Carolina","0.072","0.229","0.292","N/A","N/A","N/A","0.135"
"South Dakota","0.054","N/A","0.304","N/A","0.597","N/A","0.116"
"Tennessee","0.102","0.238","0.196","N/A","N/A","N/A","0.134"
"Texas","0.072","0.197","0.210","0.058","N/A","N/A","0.141"
"Utah","0.067","N/A","0.116","N/A","N/A","N/A","0.076"
"Vermont","0.084","N/A","N/A","N/A","N/A","N/A","0.089"
"Virginia","0.047","0.148","0.131","N/A","N/A","N/A","0.078"
"Washington","0.062","N/A","0.129","0.080","N/A","N/A","0.084"
"West Virginia","0.144","N/A","N/A","N/A","N/A","N/A","0.142"
"Wisconsin","0.058","0.262","N/A","N/A","N/A","N/A","0.082"
"Wyoming","0.090","N/A","0.120","N/A","N/A","N/A","0.100"